Lookup,Act and section under which proceedings can be taken,Offence description,Magistrates' Courts: Maximum sentence *[12 months] or [51 weeks] on commencement of SS.154(1) or 281(5) CJA 2003,Magistrates' Courts: Offense classification: When committed for trial to the Crown Court or discharge under S.6 MCA 1988,Magistrates' Courts: Offense classification: when dealt with: under 18,Magistrates' Courts: Offense classification: when dealt with: 18 and over,Crown Court:Maximum sentence, Crown Court: Offense classification: For trial,Crown Court:Maximum sentence, Crown Court: Offense classification: For sentence only following conviction in lower court, Record as an offence on form Crimsec 3?, Year of insertion into code books
19599,Agriculture Act 1967 / Agriculture Act 1967 ,S.14(2),Failure to comply with requirements made under the levy scheme by virtue of subsection 1,3 months or L3 or both,-,195/99,195/99,-,-,195/99,No,2009 or earlier
9999,Agriculture Act 1967 / Agriculture Act 1967 ,S.14(3),Falsification of registration returns and records of a levy scheme / CJS: AG67002,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Agriculture Act 1967 / Agriculture Act 1967 ,S.24(3),Disclosure of information under a levy scheme / CJS: AG67003,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9999,Agriculture Act 1967 / Agriculture Act 1967 ,S.55(4),Means of obtaining information relating to land / CJS: AG67004,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
19599,Agriculture Act 1967 / Agriculture Act 1967 ,,Livestock and meat marketing regulations / CJS:,L1,-,195/99,195/99,-,-,195/99,No,2009 or earlier
10102,Agriculture Act 1970,Part IV,Any offence relating to fertilisers and feeding stuffs / CJS: AG70001 & 3-19,3 months or L5 or both,-,101/02,101/02,-,-,101/02,No,2009 or earlier
9999,Agriculture Act 1970,other than SS.66-87 (Part IV),Offences concerning: eggs; capital and other grants; smallholdings; flood warning systems; animal diseases / CJS: AG70002,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
19533,Agriculture and Horticulture Act 1964,,Offences concerning: price stability of imported produce; grants; grading and transport of fresh horticultural produce / CJS: AH64001-20,3 months or L5 or both,-,195/33,195/33,-,-,195/33,No,2009 or earlier
19599,Agriculture (Miscellaneous Provisions) Act 1968,,False entries in documents; grants for break crops,L1,-,195/99,195/99,-,-,195/99,No,2009 or earlier
10821,Agriculture (Miscellaneous Provisions) Act 1968,S.1,Prevention of unnecessary pain and distress for livestock / CJS: AM68001,3 months or L4 or both,-,108/21,108/21,-,-,108/21,No,2009 or earlier
10821,Agriculture (Miscellaneous Provisions) Act 1968,S.2,Regulations relating to welfare of livestock,3 months or L4 or both,-,108/21,108/21,-,-,108/21,No,2009 or earlier
10821,Agriculture (Miscellaneous Provisions) Act 1968,S.6,Powers of entry in connection with offences under this Act,L3,-,108/21,108/21,-,-,108/21,No,2009 or earlier
16855,Agriculture (Miscellaneous Provisions) Act 1972,,Control of diseases carried by animals likely to affect humans,L5,-,168/55,168/55,-,-,168/55,No,2009 or earlier
14850,Agriculture (Poisonous Substances) Act 1952,,Protection for agricultural workers against risk of poisoning / CJS: AP52001-06,L4,-,148/50,148/50,-,-,148/50,No,2009 or earlier
8505,"Agriculture (Safety, Health & Welfare Provisions) Act 1956",S.7,"Prohibit children from riding on or driving vehicles, machinery or implements used in agriculture / CJS: ",L5,S 85/05,S 85/05,S 85/05,2 years,S 85/05,S 85/05,Yes,2009 or earlier
14848,Agricultural Wages Act 1948 / Air Force Act 1955 and subsequent amendments incorporated therewith,,Pertaining to rates of wages and holiday allowance / CJS: / Provisions concerning air force procedure and policy ,3 months or L5 or both,-,148/48,148/48,-,-,148/48,No,2009 or earlier
15501,as amended by / Armed Forces Acts 1971 and 1996,,a) triable summarily only / CJS: AI55037+,3 months or L5 ,-,155/01,155/01,-,-,155/01,No,2009 or earlier
9999,,,b) triable either way / CJS: AI55008 & AI55047,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
9979,Air Navigation Order 2005 ,AA.73 & 148(7) & / Sch.14(C),Endangering safety of aircraft / CJS: AN00001-2,L5,S 99/79,S 99/79,S 99/79,5 years,S 99/79,S 99/79,Yes,2009 or earlier
9980,Air Navigation Order 2005 ,AA.75 & 148(6) & / Sch.14(B),Endangering safety of persons or property / CJS: AN00003-6,L5,S 99/80,S 99/80,S 99/80,2 years,S 99/80,S 99/80,Yes,2009 or earlier
15515,Air Navigation Order 2005 ,AA.77 & 148(5) & Sch.14(A) ,Requirement to obey lawful commands of aircraft commander / CJS: AN00012,L4,-,155/15,155/15,-,-,155/15,No,2009 or earlier
15516,Air Navigation Order 2005 ,AA.78 & 148 (5) & Sch.14(A),Acting in disruptive manner / CJS: AN00017,L4,-,155/16,155/16,-,-,155/16,No,2009 or earlier
9931,Air Navigation Order 2005 / added by / Air Navigation (Amendment) Order 2009,AA.107 & 107A,Unauthorised person acting as or purporting to be an air traffic controller or student air traffic controller / CJS: AN05027-28,L5,S 99/31,S 99/31,S 99/31,2 years,S 99/31,S 99/31,Yes,2010 April
15517,Air Navigation Order 2005 / added by / Air Navigation (Amendment) Order 2009,"AA.111, 112, 114, 117, 119A & 119B & Sch.11 P. 6(8A)","Air traffic controllers - summary offences / CJS: AN05029 - 31, 35 - 37",L3,-,155/17,155/17,-,-,155/17,No,2010 April
9933,Air Navigation Order 2005 / added by / Air Navigation (Amendment) Order 2009,AA.115 & 116,Air traffic controllers - TEW offences / CJS: AN05032-34,L5,S 99/33,S 99/33,S 99/33,2 years,S 99/33,S 99/33,Yes,2010 April
15509,Air Navigation Order 2005 ,A.148(5) & Sch.14(A),Summary offences / CJS: AN00011-12; AN00016-17,L4,-,155/09,155/09,-,-,155/09,,2010
15510,Air Navigation Order 2005; regulations made thereunder or provisions of JAR-145,A.148(4),Summary offences,L3,-,155/10,155/10,-,-,155/10,No,2009 or earlier
15511,Air Navigation Order 2005 ,AA.76 & 148(5) & Sch.14(A),Smoking in aircraft,L4,-,155/11,155/11,-,-,155/11,No,2009 or earlier
9943,Air Navigation Order 2005 / and / Air Navigation (Overseas Territories) Order 2001,AA.75 & 148(6) & Sch.14B / AA.65 & 122(6) & Sch.12.Pt.B,Drunkenness in aircraft / CJS: AN00007-10; AN00014-15,L5,S 99/43,S 99/43,S 99/43,2 years,S 99/43,S 99/43,Yes,2009 or earlier
9944,Air Navigation Order 2005 ,A.148 (6) & Sch.14(B),TEW offences - except Article 75 / CJS: AN00019-25,L5,S 99/44,S 99/44,S 99/44,2 years,S 99/44,S 99/44,Yes,2009 or earlier
9944,Air Navigation Order 2009 ,"AA.2(1), 16(10), 132(2), 231 & 241(7) & Sch.13 Pt.C","TEW offences / CJS: AN09001-03, 19-20",L5,S 99/44,S 99/44,S 99/44,2 years,S 99/44,S 99/44,Yes,2010 April
9979,Air Navigation Order 2009 ,AA.137 & 241(8) & Sch.13 Pt.D,Endangering safety of aircraft / CJS: AN09004,L5,S 99/79,S 99/79,S 99/79,5 years,S 99/79,S 99/79,Yes,2010 April
9980,Air Navigation Order 2009 ,AA.138 & 241(7) & Sch.13 Pt.C,Endangering safety of any person or property / CJS: AN09005-06 ,L5,S 99/80,S 99/80,S 99/80,2 years,S 99/80,S 99/80,Yes,2010 April
9943,Air Navigation Order 2009 ,AA.139 & 241(7) & Sch.13 Pt.C,Drunkenness in aircraft (includes drugs) / CJS: AN09007-12,L5,S 99/43,S 99/43,S 99/43,2 years,S 99/43,S 99/43,Yes,2010 April
15511,Air Navigation Order 2009 ,AA.140 & 241(6) & Sch.13 Pt.B,Smoking in aircraft / CJS: AN090013,L4,-,155/11,155/11,-,-,155/11,No,2010 April
15515,Air Navigation Order 2009 ,AA.141 & 241(6) & Sch.13 Pt.B,Requirement to obey authority of commander of an aircraft / CJS: AN09014,L4,-,155/15,155/15,-,-,155/15,No,2010 April
15516,Air Navigation Order 2009 ,AA.142 & 241(6) & Sch.13 Pt.B,Acting in a disruptive manner / CJS: AN09015-17,L4,-,155/16,155/16,-,-,155/16,No,2010 April
15509,Air Navigation Order 2009 ,AA.143 & 241(60) & Sch.13 Pt.B,Stowaway on an aircraft / CJS: AN09018,L4,-,155/09,155/09,-,-,155/09,No,2010 April
15510,Air Navigation Order 2009 ,AA.160(2) & 241(6) & Sch.13 Pt.B,Contravention of Rules of the Air regulations / CJS: AN09021-22,L4,-,155/10,155/10,-,-,155/10,No,2010 April
9931,Air Navigation Order 2009 ,"AA.177, 178 & 241(7) & Sch.13 Pt.C",Unauthorised person acting as or purporting to be an air traffic controller or student air traffic controller / CJS: AN09023-24,L5,S 99/31,S 99/31,S 99/31,2 years,S 99/31,S 99/31,Yes,2010 April
15517,Air Navigation Order 2009 ,"AA.189, 190, 192, 195, 198, 199 & 241(5) & (6) & Sch.13 Pts.A & B",Air traffic controllers - summary offences / CJS: AN09025-27,L3,-,155/17,155/17,-,-,155/17,No,2010 April
9933,Air Navigation Order 2009 ,"AA.193, 194 & 241(7) & Sch.13 Pt.C",Air traffic controllers - TEW offences / CJS: AN09028-30,L5,S 99/33,S 99/33,S 99/33,2 years,S 99/33,S 99/33,Yes,2010 April
15518,Air Navigation Order 2009 / Air Navigation Order 2009 ,"AA.221(a) & (b), 222 & 241(5) & Sch 13 Part B","Exhibiting, directing or shining a light which by its glare or liability to be mistaken for an aeronautical ground light would endanger aircraft / CJS: AN09034-36",L4,-,155/18,155/18,-,-,155/18,No,2011
15514,Air Navigation (Overseas Territories) Order 2001,A.122 (4) & (5); Sch.12 Pt.A,Summary offences,L5,-,155/14,155/14,-,-,155/14,No,2009 or earlier
9970,Air Navigation (Overseas Territories) Order 2001 / Air Navigation (Overseas Territories) Order 2001 / Airports Act 1986 / Airports Act 1986,A.122 (6) Sch.12 Pt.B / S.63,TEW offences - except Article 65 / Contravention of Airport Authority byelaws / CJS: AI86001,L5 / L4,S 99/70 / -,S 99/70 / 195/62,S 99/70 / -,2 years / -,S 99/70 / -,S 99/70 / 195/62,Yes / No,2009 or earlier
6670,Al-Qaida and Taliban (United Nations Measures) Order 2006,A.6,Contravening prohibition on disclosure of information / CJS: AL06001,12 months [6 months] or L5 or both,S 66/70,S 66/70,S 66/70,2 years,S 66/70,S 66/70,Yes,2009 or earlier
6671,Al-Qaida and Taliban (United Nations Measures) Order 2006,A.7,Contravening prohibition on dealing with funds or economic resources / CJS: AL06002,12 months [6 months] or L5 or both,S 66/71,S 66/71,S 66/71,7 years,S 66/71,S 66/71,Yes,2009 or earlier
6672,Al-Qaida and Taliban (United Nations Measures) Order 2006,A.8,Contravening prohibition on making available funds or economic resources / CJS: AL06003,12 months [6 months] or L5 or both,S 66/72,S 66/72,S 66/72,7 years,S 66/72,S 66/72,Yes,2009 or earlier
6673,Al-Qaida and Taliban (United Nations Measures) Order 2006,A.10,Knowingly and intentionally participating in activities to circumvent an Article 7 or 8 prohibition / CJS: AL06004,12 months [6 months] or L5 or both,S 66/73,S 66/73,S 66/73,7 years,S 66/73,S 66/73,Yes,2009 or earlier
6674,Al-Qaida and Taliban (United Nations Measures) Order 2006,A.11,Failure to comply with a condition attached to an Article 7 or 9 exemption licence / CJS: AL06005,12 months [6 months] or L5 or both,S 66/74,S 66/74,S 66/74,2 years,S 66/74,S 66/74,Yes,2009 or earlier
12576,Al-Qaida and Taliban (United Nations Measures) Order 2006,Sch.1 P.2(3),Relevant institution failing to comply with requirement to provide information to the Treasury / CJS: AL06006,51 weeks [6 months] or L5 or both,-,125/76,125/76,-,-,125/76,No,2009 or earlier
12577,Al-Qaida and Taliban (United Nations Measures) Order 2006,Sch.1 P.4(a),Refusing or failing to comply with any request to provide information to or produce document for Treasury / CJS: AL06007,51 weeks [6 months] or L5 or both,-,125/77,125/77,-,-,125/77,No,2009 or earlier
6675,Al-Qaida and Taliban (United Nations Measures) Order 2006,Sch.1 P.4(b),Knowingly or recklessly giving any information or producing any document which is false in a material particular to Treasury / CJS: AL06008,12 months [6 months] or L5 or both,S 66/75,S 66/75,S 66/75,2 years,S 66/75,S 66/75,Yes,2009 or earlier
12578,Al-Qaida and Taliban (United Nations Measures) Order 2006,Sch.1 P.4(c),Wilfully obstructing the Treasury in the exercise of their powers under Schedule 1 / CJS: AL06009,51 weeks [6 months] or L5 or both,-,125/78,125/78,-,-,125/78,No,2009 or earlier
6676,Al-Qaida and Taliban (United Nations Measures) Order 2006,Sch.1 Para.4(d),"With intent to evade provisions of Schedule 1 destroy, mutilate, deface, conceal or remove any document / CJS: AL06010",12 months [6 months] or L5 or both,S 66/76,S 66/76,S 66/76,2 years,S 66/76,S 66/76,Yes,2009 or earlier
6699,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,R.3,"Dealing with funds or economic resources belonging to, held or owned by a designated person / CJS: AL10001",3 months or L5 or both,66/99,66/99,66/99,2 years or fine or both,66/99,66/99,,2011
6699,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,R.4(2) & (3),"Making available directly or indirectly funds or economic resources belonging to, held or owned by a designated person / CJS: AL10002 - 3",3 months or L5 or both,66/99,66/99,66/99,2 years or fine or both,66/99,66/99,,2011
6699,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,R.6(a) & (b),Circumvent or enable or facilitate the contravention of a prohibition on the dealing with or availability of funds or economic resources / CJS: AL10004 - 5,3 months or L5 or both,66/99,66/99,66/99,2 years or fine or both,66/99,66/99,,2011
6699,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,R.5(a) & (b) & (6),For the purpose of obtaining a Treasury licence providing false information or producing a document that was not what it purported to be or failing to comply with a condition on Treasury licence / CJS: AL10006 - 8,3 months or L5 or both,66/99,66/99,66/99,2 years or fine or both,66/99,66/99,,2011
19599,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,Para. 2(4) of Sch.1 ,"Summary offences under Schedule 1 / CJS: AL10009-10, 12",3 months or L5 or both,-,195/99,195/99,-,-,195/99,No,2011
6699,Al-Qaida and Taliban (Asset-Freezing) Regulations 2010,Para.5(1)(b) of Sch.1 ,TEW offences under Schedule 1 / CJS: AL10011 & 13,3 months or L5 or both,66/99,66/99,66/99,2 years or fine or both,66/99,66/99,,2011
9901,Aliens Restriction (Amendment) Act 1919,S.3(1)&(2),Incitement to sedition by aliens among forces or civilians or promoting industrial unrest / CJS: AL19001-3,3 months,S 99/01,S 99/01,S 99/01,10 years,S 99/01,S 99/01,Yes,2009 or earlier
19599,Aliens Restriction (Amendment) Act 1919,S.3(1)&(2),Appointment of aliens to Civil Service / CJS: AL19005-6,6 months or L3 or both,-,195/99,195/99,-,-,195/99,No,2009 or earlier
14900,Allotments Act 1922,S.19,Causing damage to an allotment through negligence or any unlawful act / CJS: AL22001,L1,-,S 149/00,S 149/00,-,-,S 149/00,No,2009 or earlier
9999,Ancient Monuments and Archaeological Areas Act 1979,SS.2 - 42 except S.28(1) below,Various offences / CJS: AN79001-3,L5,S 99/99,S 99/99,S 99/99,Fine,S 99/99,S 99/99,Yes,2009 or earlier
5800,Ancient Monuments and Archaeological Areas Act 1979,S.28(1),Malicious damage / CJS: AN79004,6 months or L5 or both,-,S 58/00,S 58/00,2 years,-,S 58/00,Yes,2009 or earlier
10816,Animal and Animal Products (Import and Export) Regulations 1998 ,R.33 ,Summary offences under Regulation 31(a) & (b) / CJS:,3 months or L5 or both,-,108/16,108/16,-,-,108/06,No,2009 or earlier
9999,Animal and Animal Products (Import and Export) Regulations 1998 ,,TEW offences / CJS:,3 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
10816,Animal and Animal Products (Import and Export) (No. 2) Regulations 2004 ,R.33,Summary offences - Regulation 31(a) & (b) / CJS: AP04001-2,3 months or L5 or both,-,108/16,108/16,-,-,108/16,No,2009 or earlier
9996,Animal and Animal Products (Import and Export) (No. 2) Regulations 2004 ,R.33,TEW offences / CJS: AP04003,3 months or L5 or both,S 99/96,S 99/96,S 99/96,2 years,S 99/96,S 99/96,Yes,2009 or earlier
10816,Animal and Animal Products (Import and Export) (England) Regulations 2006 ,RR.32(a) & (b) & 34(4),Summary offences - / CJS: AA06004-5,3 months or L5 or both,-,108/16,108/16,-,-,108/16,No,2009 or earlier
9996,Animal and Animal Products (Import and Export) (England) Regulations 2006 ,,TEW offences / CJS: AA006006-42,3 months or L5 or both,S 99/96,S 99/96,S 99/96,2 years,S 99/96,S 99/96,Yes,2010
9169,Animal and Animal Products Regulations 1997,,All offences made under these regulations / CJS: AA97001-18,L5,S 91/69,S 91/69,S 91/69,Fine,S 91/69,S 91/69,Yes,2009 or earlier
10818,Animal Boarding Establishments Act 1963,,Licensing and inspection of boarding establishment to ensure welfare of animals / CJS: AB63001-4,3 months or L2 or both,-,108/18,108/18,-,-,108/18,No,2009 or earlier
9183,Animal By-Products (Enforcement) (England) Regulations 2011,"RR.17, 18(a), (b), (c) or (d) & 20",Triable either-way offences / CJS: AB11001-5,3 months or L5 or both,91/83,91/83,91/83,2 years or fine or both,91/83,91/83,Yes,2012
9183,Animal by-products (enforcement) (no2) (Wales) Regs 2011,"17(1), 18(a-d)","Failure to comply with animal by-product requirements or intentionally obstruct, fail to give information/ documentation/ facilities to an authorised person / CJS: AP11001 - 05",3 months or L5 or both,S 91/83,S 91/83,S 91/83,2 years or fine or both,S 91/83,S 91/83,Yes,2014
9155,Animal By-Products (Identification) Regulations 1995,"RR.6, 7, 8 ,9 or 10 & 14",Triable either way offences / CJS: AB95001-5,L5,091/55,091/55,091/55,Fine,091/55,091/55,Yes,2012
9155,Animal By-Products Regulations 2005,,TEW offences / CJS: AB05001-28,3 months or L5 or both,S 91/55,S 91/55,S 91/55,2 years or fine or both,S 91/55,S 91/55,Yes,2009 or earlier
9155,Animal By-Products (Wales) Regulations 2006,RR.47(1) & 48(1),Obstructing person acting in execution of the regulations / CJS: AB06001,3 months or L5 or both,S 91/55,S 91/55,S 91/55,2 years or fine or both,S 91/55,S 91/55,No,2011
11001,Animal Health Act 1981,Order made under S.10(1),"Summary offences against importation of animals, carcasses etc / CJS:",L5,-,110/01,110/01,-,-,110/01,No,2009 or earlier
9999,Animal Health Act 1981,,Except RABIES / CJS:,L5,S 99/99,S 99/99,S 99/99,1 year,S 99/99,S 99/99,Yes,2009 or earlier
11001,Animal Health Act 1981,,"Regulations to prevent the spreading of diseases among animals / (except cases of cruelty under SS.8, 9, 37-43, 46, 49 or orders made thereunder or offences relating to dogs under S.13) and all orders and regulations made by Local Authorities under the Act",L5,-,110/01,110/01,-,-,110/01,No,2009 or earlier
10812,Animal Health Act 1981,order made under SS.8 & 37(1),Cruelty to animals (offences against movement of animals),"£1,000",-,108/12,108/12,-,-,108/12,No,2009 or earlier
10812,Animal Health Act 1981,order made under SS.9 and 37(2),Prevention of suffering-transport of animals by sea and air,"£1,000",-,108/12,108/12,-,-,108/12,No,2009 or earlier
19599,Animal Health Act 1981,order made under S.13 (1)(a) & (2)(a),Muzzling of dogs and the keeping of dogs under control and wearing by dogs in a public place of a collar with owner's name and address,L5,-,195/99,195/99,-,-,195/99,No,2009 or earlier
10812,Animal Health Act 1981,orders made under S.38,Provision of food and water at railway stations,"£1,000",-,108/12,108/12,-,-,108/12,No,2009 or earlier
10812,Animal Health Act 1981,orders made under S.39,Cruelty to animals - restriction on export of animals generally,"£1,000",-,108/12,108/12,-,-,108/12,No,2009 or earlier
10812,Animal Health Act 1981,SS.40 & 41 and orders made under S.43,Restriction and regulation of export of horses and ponies / CJS: AN81007-8; AN81016-7,L5 (if more than 10 animals L3 per animal),-,108/12,108/12,-,-,108/12,No,2009 or earlier
10812,Animal Health Act 1981,S.42,Restriction on export of registered ponies / CJS: AN81009-18,L5 (if more than 10 animals L3 per animal),-,108/12,108/12,-,-,108/12,No,2009 or earlier
10812,Animal Health Act 1981,SS.46 & 49,Cruelty to animals; master of ship to slaughter injured horses / CJS: AN81010/14/15,L5,-,108/12,108/12,-,-,108/12,No,2009 or earlier
9999,Animal Health Act 1981,SS.72 & 76 or 73 & 76,Regulations to prevent the spreading of rabies disease among animals / CJS: AN81011-12,L5,S 99/99,S 99/99,S 99/99,1 year,S 99/99,S 99/99,Yes,2009 or earlier
10829,Animal Welfare Act 2006,SS.4 & 32(1),"Causing, permitting or failing to prevent unnecessary suffering / CJS: AW06001-2","51 weeks [6 months] or £20,000 or both",-,108/29,108/29,-,-,108/29,No,2009 or earlier
10830,Animal Welfare Act 2006,SS.5 & 32(1),"Carrying out, permitting or causing to be carried out or failing to prevent prohibited procedure on a protected animal / CJS: AW06003-5","51 weeks [6 months] or £20,000 or both",-,108/30,108/30,-,-,108/30,No,2009 or earlier
10831,Animal Welfare Act 2006,SS.6(1) & (2) & 32(1),Removing or causing or permitting or failing to prevent removal of dog's tail other than for medical treatment / CJS: AW06006-8,"51 weeks [6 months] or £20,000 or both",-,108/31,108/31,-,-,108/31,No,2009 or earlier
10838,Animal Welfare Act 2006,"SS.6(8), (9) & (12) & 32(4)",Failing to certify working dog before it is 3 months old; show dog with a removed tail; knowingly give false information to a vet concerning giving of S.6 certificate / CJS: AW06009-11,51 weeks [6 months] or L4 or both,-,108/38,108/38,-,-,108/38,No,2009 or earlier
10832,Animal Welfare Act 2006,SS.7 & 32(1),Administration of poisons etc to a protected animal / CJS: AW06012-14,"51 weeks [6 months] or £20,000 or both",-,108/32,108/32,-,-,108/32,No,2009 or earlier
10833,Animal Welfare Act 2006,SS.8 & 32(1),Offences relating to animal fights / CJS: AW06015-28,"51 weeks [6 months] or £20,000 or both",-,108/33,108/33,-,-,108/33,No,2009 or earlier
10834,Animal Welfare Act 2006,SS.9 & 32(2),Failing to ensure needs of animal are met as required by good practice / CJS: AW06029,51 weeks [6 months] or L5 or both,-,108/34,108/34,-,-,108/34,No,2009 or earlier
10835,Animal Welfare Act 2006,SS.11 & 32(4),Selling animal to person under 16 / CJS: AW06030,51 weeks [6 months] or L4 or both,-,108/35,108/35,-,-,108/35,No,2009 or earlier
10836,Animal Welfare Act 2006,SS.13 & 32(2),Carrying on activity without authority of S.13 licence or carrying on unregistered S.13 activity / CJS: AW06031-32,51 weeks [6 months] or L5 or both,-,108/36,108/36,-,-,108/36,No,2009 or earlier
10839,Animal Welfare Act 2006,SS.18(12) & 32(4),Intentionally obstructing person exercising power conferred by this section relating to animal in distress / CJS: AW06034,51 weeks [6 months] or L4 or both,-,108/39,108/39,-,-,108/39,No,2009 or earlier
10837,Animal Welfare Act 2006,S.34(1)-(4) & (9),Breach of a disqualification imposed after conviction of specified offences / CJS: AW06033,51 weeks [6 months] or L5 or both,-,108/37,108/37,-,-,108/37,No,2009 or earlier
10817,Animals (Cruel Poisons) Act 1962 / Animals (Scientific Procedures) Act 1986,,Unlawful use of poison for destroying animals / CJS: AP62001 / Provision for the protection of animals used for experimental or other scientific purposes,3 months or L4 or both,-,108/17,108/17,-,-,108/17,No,2009 or earlier
10801,Animals (Scientific Procedures) Act 1986,,"a) SS.22(3), 23 and 25(3) / CJS: AN86004 +",3 months or L4 or both,-,S 108/01,S 108/01,-,-,108/01,No,2009 or earlier
9999,Animals (Scientific Procedures) Act 1986,,"b) SS.22(1), 22(2) and 24 / CJS: AN86001+",6 months or L5 or both,S 99/99,S 99/99,S 99/99,2 years,S 99/99,S 99/99,Yes,2009 or earlier
16817,Anthrax Prevention Act 1919,,Summary offences,-,-,168/17,168/17,-,-,168/17,No,2009 or earlier
